tanggal,tweets,username,retweet,source,hashtags
2020-04-26 23:20:13,"Kita bisa belajar dari negara lain dlm menangani Corona. Berita terbaru Vietnam dan Malaysia selama lockdown tdk ada yg meninggal dunia. Indonesia saat PSBB masih banyak yang meninggal dunia. Bbrp waktu sy rekaman. Ini pandangan saya.
https://t.co/4asMrWXQ7S",musniumar,9,Twitter for Android,[]
2020-04-26 23:20:12,"Dengan penambahan itu, saat ini, jumlah total pasien covid-19 di Klaten menjadi 13 orang.  https://t.co/kUYPvLu0o0",mediaindonesia,0,micom,[]
2020-04-26 23:20:09,"Sebagian besar bilang Covid-19 adalah musuh. 

Bagaimana kalo sebenarnya manusia adalah musuh dari bumi yg harusnya kita sayangi? 

https://t.co/9pa72dRLYU

Pantauan udara
Selama Pandemik COVID 19 dari Aceh sampai Papua.",simusi,0,Twitter for Android,[]
2020-04-26 23:20:03,Plasma Konvalesen Sembuhkan Covid-19  https://t.co/iMUNaAFaOI,mediaindonesia,4,micom,[]
2020-04-26 23:20:02,"Update Corona 25 April: 8.607 Kasus, 720 Meninggal, 1.042 Sembuh https://t.co/i25LaziFLO",DreamersRadioID,0,Dreamers Autotweet,[]
2020-04-26 23:20:02,"Krisis Corona, Toko Kecil di India Diizinkan Buka Kembali https://t.co/dF3zxSahQs",VIVAcoid,1,dlvr.it,[]
2020-04-26 23:19:45,"Malaysia Lockdown, 500 Ribu TKI Menjerit Kelaparan Mau Pulang Kampung Bikin Luhut Resah  https://t.co/FVjcy0G4Yc #VirusCorona #COVID19 #LuhutPanjaitan",monitorindo,0,Twitter for Android,"['VirusCorona', 'COVID19', 'LuhutPanjaitan']"
2020-04-26 23:19:40,"Yoi... China Uji Klinis Tiga Vaksin Corona, Salah Satunya Buatan Militer....
 https://t.co/AB1a4UgtRO",MNCkoranSINDO,0,Twitter for Android,[]
2020-04-26 23:18:33,"Survei: Anies terbaik tangani Corona, Risma terburuk.

Let's see. Realitas vs persepsi.
Warga positif Corona dibanding penduduk 
DKI: 0,04%
Sby: 0,01%

Warga sembuh vs positif
DKI : 9 %
Sby: 19%

Meninggal vs positif
DKI 9.5%
Sby: 14% 

Komen anda?

https://t.co/IX6DviZdlk",RustamIbrahim,46,Twitter Web App,[]
2020-04-26 23:18:12,Begini katanya wabah pengen selesai bulan Juni? Mimpi di siang bolong!! https://t.co/bjY7qZFEQG,Novantobing911,0,Twitter for iPhone,[]
2020-04-26 23:17:49,"Kalau Mau Melihat Katak Pembina Dan BuzzeRp Semakin Marah, Cukup Posting Yang Begini Guys Di Setiap Cuitan Kalian, Dijamin Bakal Kalang Kabut Mereka!

#TanpaRevolusiRIMusnah
https://t.co/FDBRHfxycA",Lucky_L4k1,1,Twitter for Android,['TanpaRevolusiRIMusnah']
2020-04-26 23:15:33,"@DanielMarpaung5 Hi kak Daniel sebelumnya kami mohon maaf ya kak, sehubungan dengan pandemi Covid-19 yang terjadi di Indonesia saat ini, maka proses pengiriman mengalami penyesuaian pengiriman dengan tambahan estimasi 2-3 hari. (1/2)",csjd_id,0,Salesforce - Social Studio,[]
2020-04-26 23:14:58,"Kasus positif #COVID19 di china 83.885 selesai dlm jangka waktu 2 dgn beberapa kebijakan yg tepat. Indo jgn mau kalah dong, harus lbh cpt dr china. Btw kita udh mau 2 bulan kan ngadepin pandemi.",abangarieff,0,Twitter for Android,['COVID19']
2020-04-26 23:14:41,Unika Soegijapranata Semarang Resmi Buka Program Studi Doktor Arsitektur Digital di Tengah Pandemi Covid-19 - https://t.co/X4adbYQ6jm,kalderanews,0,Twitter for Android,[]
2020-04-26 23:14:39,@ichsky Aman Cha?? Wfh apa masih ngantor? Kampus gmn? Udh mulai boring blm di rumah? Kelar Corona ketemuan yukkk kangen,lani_tale,0,Twitter for Android,[]
2020-04-26 23:14:03,"@agnessmh Selamat pagi. Mohon maaf sampai saat ini rute B11, B12, B21 &amp; B22 masih belum dapat melayani pelanggan sampai batas waktu yang belum ditentukan. Cek selalu informasi rute"" Transjakarta setiap harinya pada link  https://t.co/8AlOVrgs3c 
Terima kasih :) ^Im",PT_Transjakarta,0,Ivosights - Sociomile,[]
2020-04-26 23:14:02,"Selain Corona, 4 Penyakit Ini Bisa Dicegah dengan Cuci Tangan https://t.co/HUw2wyT48Z",liputan6dotcom,0,dlvr.it,[]
2020-04-26 23:13:49,"Avigan Dan Chloroquine Sudah Di Pesan Mubazir Dong! 

#TanpaRevolusiRIMusnah

https://t.co/vk8cRhBQIn",Lucky_L4k1,1,Twitter for Android,['TanpaRevolusiRIMusnah']
2020-04-26 23:13:32,6 Tips Menjalani Puasa di Tengah Pandemi Covid-19 https://t.co/iSZldJU9uR,Bisniscom,1,dlvr.it,[]
2020-04-26 23:13:20,"Demi Ringankan Beban Ekonomi Mahasiswa Saat Pandemi Corona, Universitas di Bandung Ini Gratiskan Biaya Kuliah - https://t.co/SPJhhmJ8jq",kalderanews,0,Twitter for Android,[]
2020-04-26 23:12:49,Dah tau lagi corona sm puasa ya.,kenapasi_kepoya,0,Twitter for Android,[]
2020-04-26 23:12:44,"Bukti Kerja Nyata, Anies Baswedan Tanggapi Reza Arap Soal Bantuan Covid-19 Setelah Tak Ada Selebgram Lain yang Pe... https://t.co/rMr0iAcyG1",reformasimental,0,Twitter for Android,[]
2020-04-26 23:12:41,"Penanganan Covid-19, PGN Telah Salurkan Bantuan Senilai Rp 3,7 Miliar https://t.co/ztjF1NaqTE @Gas_Negara @KemenBUMN @KementerianESDM",KoranBUMN,0,Twitter Web App,[]
2020-04-26 23:12:15,"@KompasTV Sbg info n masukan Positif agar Masyarakat, me-waspadai ber-bagai cara Virus Covid 19 ini bs menebar di lingkungan yg kt sayangi.",Danks05282530,0,Twitter for iPhone,[]
2020-04-26 23:12:11,@Rizkihadi @anaqembar @indraturner_ @syfrprln @oktalinee Gr2 nimbun masker pas lagi wabah.....namanya udah dimasukkin ke list neraka jalur ekspress,Tukang_Elbow,0,Twitter Web App,[]
2020-04-26 23:10:33,"Gara-Gara Corona, Penjualan Kue Kering Turun Drastis https://t.co/tWu73dZLdF",liputan6dotcom,2,dlvr.it,[]
2020-04-26 23:10:11,Jadi pengen ciptain alat yg bisa detek orang pingsan grgr Corona apa bukan. Kasian bat petugasnya kaya kena prank wkwkk https://t.co/wldjl2bimr,Nisftrrah,0,Twitter Web App,[]
2020-04-26 23:10:02,Menilik Persiapan Korea Selatan Hadapi Kemungkinan Gelombang Kedua Covid-19 https://t.co/1XLbEXTAql,DreamersRadioID,0,Dreamers Autotweet,[]
2020-04-26 23:09:05,"Berita aktual masih masalah
Corona yg menerjang Indo. dan berbagai negara di dunia. Tdk ada yg  tahu secara pasti kapan badai Corona berlalu. Pm pusat dan daerah diminta transparan dan bersatu. Rakyat disiplin menaati ketentuan PSBB agar Corona sgr selesai
https://t.co/4asMrWXQ7S",musniumar,4,Twitter for Android,[]
2020-04-26 23:08:16,"Anies Ungguli Survei Kepuasan Penanganan Corona, Jokowi dan 3 Menteri Dapat Sentimen Negatif https://t.co/zEcMELk3TO",reformasimental,0,Twitter for Android,[]
2020-04-26 23:08:14,Pemerintah Jangan Pelit Salurkan Bansos Covid-19 - https://t.co/FvegYsbFUX #faktaberitafakta https://t.co/DpW9PVRu7n,swamedium,0,SwaMedium Twitter Integration,['faktaberitafakta']
2020-04-26 23:08:04,"Pandemi Corona Belum Reda, Arsenal Kembali Gelar Sesi Latihan https://t.co/JKJM5ZAb0O",infobolame,0,dlvr.it,[]
2020-04-26 23:07:21,"Di Kabupaten Lumajang, Pasien Positif COVID-19 Sehari Bertambah Empat Orang https://t.co/78y6SzzbFC https://t.co/PNJk8FDyCJ",Realitarakyat01,0,WordPress.com,[]
2020-04-26 23:06:46,"Kemarin Minta Bukti Negara Mana Yang Lauk Daun Sukses Tangani Corona!

#TanpaRevolusiRIMusnah

https://t.co/bbWI6iS6g0",Lucky_L4k1,1,Twitter for Android,['TanpaRevolusiRIMusnah']
2020-04-26 23:06:11,"Ya allah paringi selamet. Ndang diparingi kesadaran poro jamaahe

Balik balik keno covid porak buyar dunia persilatan 🤣 https://t.co/vQiexoM8Ig",pickapuck,0,Twitter for iPhone,[]
2020-04-26 23:06:08,"Allahummad fa’nal ghola’ wal bala’ wal wabaa’
Ya Allah hindari kami dari kekurangan pangan, cobaan hidup, dan wabah penyakit

Fii dun’ya khossoh Fi baladina Indonesia
Di Dunia khususnya di Negara kami… https://t.co/FZ0UQPLqnS",AjiesanDzeko,0,Instagram,[]
2020-04-26 23:06:02,"Dua Bulan Jalani Karantina Pandemi Corona, Pelatih Timnas Italia Mulai Stres https://t.co/Wzmoxiy3fB",KompasBola,0,KOMPAS.com. .,[]
2020-04-26 23:05:27,"@MichelAdamNP Kemarin Bilang Minta Bukti Negara Mana Yang Lauk Daun Sukses Tangani Corona 

#TanpaRevolusiRIMusnah 
#TanpaRevolusiRIMusnah",Lucky_L4k1,4,Twitter for Android,"['TanpaRevolusiRIMusnah', 'TanpaRevolusiRIMusnah']"
2020-04-26 23:05:07,"@collegemenfess Aku tinggal Sertijab, eh Corona.",dikiraHantu,0,Twitter for Android,[]
2020-04-26 23:04:36,"Aslinya, sih, pelor banget, tapi sekarang jadi jagoan melek. Mungkin karena sedang ada yang berkecamuk. Kalau nggak lagi PSBB mungkin udah ada di tengah atau timur. Sisi positif kondisi #dirumahaja adalah bisa ikat kaki erat2 dan sabar nunggu badai berlalu.",nunik_utami,0,Twitter for Android,['dirumahaja']
2020-04-26 23:04:15,"@detikcom Hidup di jaman Corona ini, betul2 Manusia hrs hidup Mandiri. Semua serba takut ter-tebar Virus. Andai ada ber-teriak minta Tolooong... pun, hrs nunggu ada Petugas khusus ber-APD. Mungkin jg ditolong tp terlambat.... (?)",Danks05282530,0,Twitter for iPhone,[]
2020-04-26 23:04:09,"Dpt kiriman tapi blm ada musiknyaaa... 
#dirumahaja https://t.co/fl8LTgNobD",t_rahma_,0,Twitter for Android,['dirumahaja']
2020-04-26 23:02:38,Jumlah Pasien Sembuh Covid-19 di Jatim Capai 140 Orang https://t.co/i3xxbGJKYv via @beritabaruco,hadiprayitno82,0,Twitter for Android,[]
2020-04-26 23:02:01,"Di Banda Aceh, Dua Orang Dinyatakan Positif Covid-19 https://t.co/mwrDpzp7el via @beritabaruco",hadiprayitno82,0,Twitter for Android,[]
2020-04-26 23:00:33,"Cegah Covid-19, Sejumlah Pasar Modern Siapkan Layanan Pesan Antar https://t.co/74AX2E0A4G",Bisniscom,2,dlvr.it,[]
2020-04-26 23:00:20,"Balita 1,5 Tahun di Probolinggo Positif COVID-19 https://t.co/ITz0Tqz64M https://t.co/KHd2AMmohi",hajinewsonline,0,WordPress.com,[]
2020-04-26 22:59:05,"ANTI CALO CALO CLUB LAPAK ASIK BPJAMSOSTEK⁣
⁣
Salam Pekerja..!!!⁣
Ada info terbaru ni buat pekerja semua, BPJAMSOSTEK selama kondisi pandemi covid-19 melakukan inovasi untuk memudahkan teman-teman pekerja semua untuk… https://t.co/ZKEq3Eo09x",rifkizil,0,Instagram,[]
2020-04-26 22:58:51,"Eh, dirimu sudah tahu belom.kalau kiita bisa juga melakukan pemeriksaan risiko tertular virus corona secara online serta menjalani rapid test virus corona di rumah saja?

https://t.co/7ojfmnKYLz https://t.co/Ix3FMsHJ2n",dianrestoe,0,Twitter for Android,[]
2020-04-26 22:57:37,"Menurutnya, kejadian pandemi ini harus dimafaatkan sebaik2nya olh pusat &amp; daerah utk memutakhirkan data. Jgn smp  terjadi tumpang tindih, shg ada masyarakat yang membutuhkan tapi tidak terdata. Ia berharap, data yang tidak ter-cover atau masuk pusat bisa menggunakan dana daerah.",CITA_Research,11,Twitter Web App,[]
